Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
470,The Legend of Zelda: Ocarina of Time,N64,1998,Nintendo  ,Nintendo EAD  ,9.9,4.1,1.89,1.45,0.16,7.6
472,Call of Duty: Advanced Warfare,PS4,2014,Activision  ,Sledgehammer Games  ,8.5,2.84,3.34,0.14,1.22,7.53
478,Super Mario Galaxy 2,Wii,2010,Nintendo  ,Nintendo EAD Tokyo  ,9.7,3.59,2.37,0.98,0.62,7.57
479,Super Smash Bros. Melee,GC,2001,Nintendo  ,HAL Laboratory  ,9.2,4.41,1.04,1.39,0.22,7.07
482,Battlefield 3,X360,2011,Electronic Arts  ,Dice  ,8.5,4.47,2.12,0.06,0.69,7.35
486,The Legend of Zelda: Twilight Princess,Wii,2006,Nintendo  ,Nintendo EAD  ,9.5,3.74,2.16,0.6,0.69,7.18
487,Battlefield 1,PS4,2016,Electronic Arts  ,EA DICE  ,9.1,2.2,3.65,0.29,1.12,7.26
488,Battlefield 3,PS3,2011,Electronic Arts  ,Dice  ,8.5,2.86,2.94,0.35,1.07,7.21
490,Need for Speed Underground,PS2,2003,Electronic Arts  ,EA Black Box  ,8.6,3.27,2.83,0.08,1.02,7.2
496,Pokémon Emerald Version,GBA,2005,Nintendo  ,Game Freak  ,7.7,2.57,1.58,2.06,0.21,6.41
505,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Konami  ,Konami Computer Entertainment Japan  ,9.5,2.45,2.01,0.87,0.72,6.05
514,Need for Speed Underground 2,PS2,2004,Electronic Arts  ,EA Black Box  ,8.3,2.71,3.02,0.08,1.09,6.9
516,Mario Kart: Double Dash!!,GC,2003,Nintendo  ,Nintendo EAD  ,8.5,4.12,1.77,0.87,0.19,6.95
518,Medal of Honor: Frontline,PS2,2002,Electronic Arts  ,EA Los Angeles  ,9.0,2.93,2.75,0.17,0.99,6.83
519,Crash Bandicoot,PS,1996,Sony Computer Entertainment  ,Naughty Dog  ,7.8,3.23,2.35,0.94,0.3,6.82
520,Uncharted 2: Among Thieves,PS3,2009,Sony Computer Entertainment  ,Naughty Dog  ,9.5,3.28,2.22,0.21,1.02,6.74
522,Call of Duty 4: Modern Warfare,PS3,2007,Activision  ,Infinity Ward  ,9.5,3.13,2.27,0.28,1.04,6.72
524,Tomodachi Life,3DS,2014,Nintendo  ,Nintendo  ,7.8,0.97,2.64,1.98,0.28,5.88
525,FIFA Soccer 12,PS3,2011,EA Sports  ,EA Canada  ,9.2,0.84,4.33,0.11,1.37,6.65
529,Red Dead Redemption,PS3,2011,Rockstar Games  ,Rockstar San Diego  ,9.5,2.82,2.58,0.17,1.0,6.57
530,Donkey Kong Country Returns,Wii,2010,Nintendo  ,Retro Studios  ,8.6,3.19,1.81,1.03,0.47,6.5
532,The Legend of Zelda,NES,1987,Nintendo  ,Nintendo EAD  ,9.0,3.74,0.93,1.69,0.14,6.51
533,Assassin's Creed III,PS3,2012,Ubisoft  ,Ubisoft Montreal  ,8.8,2.65,2.61,0.16,1.08,6.5
539,Red Dead Redemption,X360,2010,Rockstar Games  ,Rockstar San Diego  ,9.5,3.77,2.03,0.09,0.6,6.5
541,The Elder Scrolls V: Skyrim,PS3,2011,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,2.57,2.68,0.25,0.99,6.49
544,Final Fantasy XII,PS2,2006,Square Enix  ,Square Enix  ,9.4,1.88,0.0,2.33,1.74,5.95
546,Pokémon Crystal Version,GBC,2001,Nintendo  ,Game Freak  ,8.7,2.55,1.56,1.29,0.99,6.39
548,Minecraft,PS4,2014,Sony Computer Entertainment  ,Mojang  ,9.4,1.89,3.13,0.35,0.96,6.33
549,Luigi's Mansion: Dark Moon,3DS,2013,Nintendo  ,Next Level Games  ,8.6,2.03,1.88,1.17,0.36,5.44
550,FIFA 15,PS4,2014,EA Sports  ,EA Canada  ,8.1,0.83,4.49,0.05,0.94,6.32
551,Kingdom Hearts,PS2,2002,Square EA  ,SquareSoft  ,8.5,3.64,1.2,1.49,0.07,6.4
554,Driver,PS,1999,GT Interactive  ,Reflections Interactive  ,8.5,3.11,2.8,0.02,0.33,6.27
557,Big Brain Academy,DS,2006,Nintendo  ,Nintendo EAD  ,7.7,1.66,2.75,1.6,0.62,6.63
575,Metal Gear Solid,PS,1998,Konami  ,Konami Computer Entertainment Japan  ,9.3,3.18,1.83,0.78,0.24,6.03
577,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Konami  ,Kojima Productions  ,9.3,2.63,1.72,0.83,0.81,6.0
587,Tekken 5,PS2,2005,Namco  ,Namco  ,9.0,0.93,1.94,0.31,0.7,3.87
593,Mario Kart: Super Circuit,GBA,2001,Nintendo  ,Intelligent Systems  ,9.3,2.62,1.64,0.99,0.23,5.47
594,Super Mario Sunshine,GC,2002,Nintendo  ,Nintendo EAD  ,9.2,4.01,1.26,0.87,0.17,6.31
595,Super Mario 3D World,WiiU,2013,Nintendo  ,Nintendo EAD Tokyo  ,9.5,2.31,1.54,0.79,0.37,5.01
599,New Super Mario Bros. U,WiiU,2012,Nintendo  ,Nintendo EAD  ,8.4,2.3,1.63,1.32,0.38,5.62
601,Link's Crossbow Training,Wii,2007,Nintendo  ,Nintendo EAD  ,6.9,3.05,1.17,0.29,0.46,4.98
604,Tekken 2,PS,1996,Namco  ,Namco  ,9.1,2.26,1.89,1.36,0.23,5.74
606,Crash Bandicoot 3: Warped,PS,1998,Sony Computer Entertainment  ,Naughty Dog  ,9.3,3.68,1.75,1.42,0.28,7.13
610,Super Mario World: Super Mario Advance 2,GBA,2002,Nintendo  ,Nintendo EAD  ,9.4,3.21,1.11,0.95,0.2,5.46
613,Cooking Mama,DS,2006,Majesco  ,Office Create  ,6.6,3.09,1.92,0.07,0.58,5.66
615,Super Mario Advance,GBA,2001,Nintendo  ,Nintendo EAD  ,8.2,3.14,1.24,0.91,0.2,5.49
616,Assassin's Creed II,PS3,2009,Ubisoft  ,Ubisoft Montreal  ,9.0,2.54,1.95,0.21,0.86,5.57
617,Super Smash Bros.,N64,1999,Nintendo  ,HAL Laboratory  ,8.4,2.95,0.6,1.97,0.04,5.55
618,Assassin's Creed,X360,2007,Ubisoft  ,Ubisoft Montreal  ,8.2,3.28,1.64,0.07,0.56,5.55
619,Batman: Arkham City,PS3,2011,Warner Bros. Interactive  ,Rocksteady Studios  ,9.6,2.72,1.89,0.11,0.82,5.54
620,Forza Motorsport 3,X360,2009,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,2.99,1.9,0.1,0.51,5.5
622,Dragon Quest IX: Sentinels of the Starry Skies,DS,2010,Nintendo  ,Level 5  ,8.6,0.63,0.67,4.35,0.15,5.79
623,Final Fantasy IX,PS,2000,Square  ,SquareSoft  ,9.2,1.62,0.77,2.78,0.14,5.3
624,Final Fantasy X-2,PS2,2003,Square Enix  ,Square Enix  ,8.3,1.92,1.08,2.11,0.17,5.29
630,Pokémon Stadium,N64,2000,Nintendo  ,HAL Laboratory  ,7.5,3.18,1.24,0.94,0.09,5.45
635,Super Mario Advance 4: Super Mario Bros. 3,GBA,2003,Nintendo  ,Nintendo EAD  ,9.2,2.93,1.25,0.83,0.2,5.2
636,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Universal Interactive  ,Traveller's Tales  ,6.9,2.07,2.29,0.24,0.82,5.42
637,Super Smash Bros. for Wii U,WiiU,2014,Nintendo  ,Bandai Namco Games  ,9.2,2.68,1.15,0.85,0.39,5.07
638,Final Fantasy XIII,PS3,2010,Square Enix  ,Square Enix  ,8.0,1.75,1.23,1.87,0.51,5.35
639,Gran Turismo 5 Prologue,PS3,2008,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,1.28,1.83,0.57,0.52,4.2
642,Pokémon Pinball,GBC,1999,Nintendo  ,Jupiter Corporation  ,8.7,3.02,1.12,1.01,0.16,5.31
643,Assassin's Creed II,X360,2009,Ubisoft  ,Ubisoft Montreal  ,9.1,3.14,1.55,0.08,0.52,5.3
647,Donkey Kong 64,N64,1999,Nintendo  ,Rare Ltd.  ,9.3,3.33,0.79,1.09,0.06,5.27
648,Just Dance 2,Wii,2010,Ubisoft  ,Ubisoft Paris  ,7.3,5.8,2.86,0.01,0.77,9.45
649,Tomb Raider II,PS,1997,Eidos Interactive  ,Core Design Ltd.  ,7.6,2.3,2.46,0.2,0.28,5.24
650,Madden NFL 2004,PS2,2003,EA Sports  ,EA Tiburon  ,9.5,4.26,0.26,0.01,0.71,5.23
653,Call of Duty: Advanced Warfare,XOne,2014,Activision  ,Sledgehammer Games  ,8.3,3.25,1.49,0.01,0.48,5.22
656,Kingdom Hearts II,PS2,2006,Square Enix  ,Square Enix  ,8.3,2.2,0.58,1.38,0.17,4.33
658,Nintendo Land,WiiU,2012,Nintendo  ,Nintendo  ,7.5,2.52,1.23,0.51,0.38,4.63
659,Super Mario Land 3: Wario Land,GB,1994,Nintendo  ,Nintendo R&D1  ,7.9,2.49,0.98,1.57,0.15,5.19
661,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Nintendo  ,Rare Ltd.  ,9.3,2.1,0.74,2.2,0.11,5.15
663,Medal of Honor: Rising Sun,PS2,2003,Electronic Arts  ,EA Los Angeles  ,5.9,1.98,2.23,0.13,0.8,5.13
664,Battlefield 1,XOne,2016,Electronic Arts  ,EA DICE  ,9.3,3.37,1.26,0.02,0.48,5.13
669,Resident Evil 5,PS3,2009,Capcom  ,Capcom  ,8.6,1.96,1.42,1.08,0.64,5.1
670,Fable III,X360,2010,Microsoft Game Studios  ,Lionhead Studios  ,7.8,3.59,1.09,0.05,0.37,5.1
672,Mario & Sonic at the Olympic Games,DS,2008,Sega  ,Sega  ,7.0,1.63,2.46,0.44,0.57,5.1
675,Grand Theft Auto: Vice City Stories,PSP,2006,Rockstar Games  ,Rockstar Leeds  ,8.4,1.7,2.03,0.16,1.19,5.08
676,FIFA Soccer 11,PS3,2010,EA Sports  ,EA Canada  ,8.7,0.61,3.28,0.06,1.12,5.08
677,Super Mario Bros. Deluxe,GB,1999,Nintendo  ,Nintendo EAD  ,9.7,3.4,1.3,0.15,0.22,5.07
678,Final Fantasy XV,PS4,2016,Square Enix  ,Square Enix  ,8.1,1.81,1.53,1.05,0.68,5.07
679,Fallout 4,XOne,2015,Bethesda Softworks  ,Bethesda Game Studios  ,8.4,2.94,1.62,0.02,0.45,5.03
681,Tony Hawk's Pro Skater,PS,1999,Activision  ,Neversoft Entertainment  ,9.6,3.42,1.38,0.02,0.2,5.02
693,Gears of War,X360,2006,Microsoft Game Studios  ,Epic Games  ,9.4,3.54,1.88,0.07,0.6,6.09
694,Gears of War 2,X360,2008,Microsoft Game Studios  ,Epic Games  ,9.4,4.15,1.91,0.06,0.64,6.75
696,Halo 5: Guardians,XOne,2015,Microsoft Studios  ,343 Industries  ,8.6,2.94,1.49,0.03,0.45,4.92
697,Halo: Combat Evolved,XB,2001,Microsoft  ,Bungie Studios  ,9.5,4.98,1.3,0.08,0.07,6.43
723,Guitar Hero III: Legends of Rock,PS2,2007,RedOctane  ,BudCat Creations  ,8.2,3.49,0.01,0.01,1.48,4.98
724,Uncharted: Drake's Fortune,PS3,2007,Sony Computer Entertainment  ,Naughty Dog  ,8.7,2.32,1.73,0.12,0.8,4.97
726,Resident Evil 2,PS,1998,Capcom  ,Capcom  ,9.3,1.88,1.47,2.02,0.45,5.82
727,Fallout 3,X360,2008,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,3.41,0.99,0.09,0.46,4.96
729,Splatoon,WiiU,2015,Nintendo  ,Nintendo EAD  ,8.4,1.58,1.3,1.56,0.27,4.71
730,Madden NFL 06,PS2,2005,EA Sports  ,EA Tiburon  ,9.1,3.98,0.26,0.01,0.66,4.91
732,Dragon Quest VIII: Journey of the Cursed King,PS2,2005,Square Enix  ,Level 5 / Armor Project  ,8.6,0.65,0.75,3.61,0.2,5.21
734,Diddy Kong Racing,N64,1997,Nintendo  ,Rare Ltd.  ,8.3,2.91,0.99,0.89,0.1,4.88
735,Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,2008,Nintendo  ,ChunSoft  ,6.4,1.83,1.19,1.54,0.37,4.94
739,Spyro the Dragon,PS,1998,Sony Computer Entertainment  ,Insomniac Games  ,8.7,3.36,1.36,0.07,0.21,5.0
741,Assassin's Creed,PS3,2007,Ubisoft  ,Ubisoft Montreal  ,8.2,1.91,2.01,0.09,0.82,4.83
746,Crash Team Racing,PS,1999,Sony Computer Entertainment  ,Naughty Dog  ,9.2,2.57,1.57,0.44,0.21,4.79
748,The Legend of Zelda: Phantom Hourglass,DS,2007,Nintendo  ,Nintendo EAD  ,9.1,1.85,1.8,0.95,0.48,5.09
749,Batman: Arkham City,X360,2011,Warner Bros. Interactive  ,Rocksteady Studios  ,9.5,2.99,1.28,0.04,0.44,4.75
751,Driver 2,PS,2000,Atari  ,Reflections Interactive  ,7.0,2.36,2.1,0.02,0.25,4.73
755,Tony Hawk's Pro Skater 2,PS,2000,Activision  ,Neversoft Entertainment  ,9.3,3.05,1.41,0.02,0.2,4.68
756,Gran Turismo,PSP,2009,Sony Computer Entertainment  ,Polyphony Digital  ,7.7,0.43,1.4,0.31,0.78,2.93
757,The Lord of the Rings: The Two Towers,PS2,2002,Electronic Arts  ,Stormfront Studios  ,8.3,1.94,1.95,0.08,0.7,4.67
759,Nintendogs + cats,3DS,2011,Nintendo  ,Nintendo EAD  ,7.2,1.44,1.69,0.73,0.29,4.15
760,Tomb Raider,PS,1996,Eidos Interactive  ,Core Design Ltd.  ,8.9,2.29,1.97,0.13,0.24,4.63
761,God of War,PS2,2005,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,2.71,1.29,0.02,0.43,4.45
762,The Legend of Zelda: A Link to the Past,SNES,1992,Nintendo  ,Nintendo EAD  ,10.0,2.42,0.91,1.15,0.13,4.61
764,Forza Motorsport 4,X360,2011,Microsoft Studios  ,Turn 10 Studio  ,9.1,2.08,1.98,0.06,0.49,4.6
765,Guitar Hero III: Legends of Rock,Wii,2007,RedOctane  ,Vicarious Visions  ,8.6,3.04,1.12,0.0,0.44,4.6
768,Mario & Luigi: Bowser's Inside Story,DS,2009,Nintendo  ,AlphaDream Corporation  ,9.1,2.23,0.47,0.81,0.27,3.77
769,FIFA 15,PS3,2014,EA Sports  ,EA Canada  ,6.9,0.59,3.25,0.04,0.68,4.56
770,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sega  ,Sega  ,6.8,1.87,1.97,0.22,0.48,4.54
771,Overwatch,PS4,2016,Blizzard Entertainment  ,Blizzard Entertainment  ,8.8,1.84,1.8,0.17,0.73,4.54
772,Madden NFL 2005,PS2,2004,EA Sports  ,EA Tiburon  ,9.5,4.18,0.26,0.01,0.08,4.53
773,Guitar Hero III: Legends of Rock,X360,2007,RedOctane  ,Neversoft  ,8.7,3.19,0.91,0.01,0.42,4.53
